KM,NOM,ID,LAT,LONG
na,Lam Dien,183,108.85527,14.9941
na,Van Tay,184,108.86285,14.95786
na,Tra Ninh,185,108.88459,14.92591
na,Mo Duc,186,108.907,14.88407
na,Duc Pho,187,108.946389,14.809722
na,Thuy Thach,188,109.006667,14.7525
na,Dien Thuong,189,109.035647,14.715143
na,Sa Huynh,190,109.064722,14.661667
na,Chong Hoa,191,109.048578,14.586741
na,Tam Quan,192,109.043611,14.547778
na,Tai Luong,193,109.03591,14.4967
na,Hoi Duc,194,109.03295,14.48286
na,Bong Son,195,109.019444,14.438333
na,Binh Chuong,196,109.0313,14.3804
na,Van Phu,197,109.064167,14.313889
na,Vinh Phuoc,198,109.07611,14.27399
na,Trung Hoi,199,109.04415,14.22029
na,Phu My,200,109.04119,14.18702
na,Binh Tan,201,109.03888,14.15374
na,Dai Thuan,202,109.03493,14.10663
na,Khanh Phuoc,203,109.037222,14.0875
na,My Hoa,204,109.04646,14.05161
na,Phu Cat,205,109.056667,13.994722
na,Binh Duc,206,109.06095,13.97518
na,Vinh Lai,207,109.06194,13.94817
na,Van Son,208,109.07446,13.91423
na,Thanh Danh,209,109.0939,13.89644
na,Binh Dinh,210,109.100833,13.887222
na,Cau Ganh,211,109.12207,13.87388
na,Van My,212,109.13063,13.85971
na,Vin The,213,109.14216,13.83533
na,Dieu Tri,214,109.143611,13.807222
na,Tuy Phuoc,215,109.19257,13.79102
na,Qui Nhon,216,109.223333,13.778333
na,An Trach,217,109.10856,13.77224
na,Canh Van,218,109.10691,13.7673
na,Tan Vinh,219,109.049444,13.7075
na,Quang Hien,220,109.03641,13.67176
na,Van Canh,221,108.996944,13.620556
na,Muc Thinh,222,109.02035,13.55242
na,Phuoc Lanh,223,109.030833,13.486111
na,Phuoc Long,224,109.09579,13.41833
na,La Hai,225,109.105833,13.381667
na,Ha Bang,226,109.14521,13.35343
na,Phong Nien,227,109.17717,13.32147
na,Chi Thanh,228,109.219444,13.304722
na,Phu Tan,229,109.24371,13.28359
na,My Phu,230,109.25887,13.25394
na,Hoa Da,231,109.270278,13.205278
na,Minh Chinh,232,109.28358,13.12314
na,Tuy Hoa,233,109.297278,13.088111
na,Dong Tac,234,109.321944,13.055833
na,Phu Hiep,235,109.361111,13.000278
na,Thach Tuan,236,109.361,12.97456
na,Hao Son,237,109.376667,12.908333
na,Dai Lanh,238,109.360556,12.833889
na,Tu Bong,239,109.300833,12.777778
na,Gia,240,109.223611,12.7
na,Hoa Huynh,241,109.168056,12.574444
na,Ninh Hoa,242,109.122778,12.488889
na,Phong Tanh,243,109.125833,12.433333
na,Quang Duoi,244,109.18507,12.39276
na,Luong Son,245,109.194444,12.337778
na,Nha Trang,246,109.184444,12.247778
