"ID","Quantite","KM","NOM","LAT","LONG"
275,2783.42,"na","Song Long Song",108.673889,11.263611
277,7376.72,"na","Song Mao",108.506667,11.248889
278,872.71,"na","Chau Hanh",108.425,11.227778
279,1580.65,"na","Song Luy",108.3225,11.214722
280,73.91,"na","Long Thanh",108.204722,11.128889
281,2989.97,"na","Ma Lam",108.131667,11.0725
282,9311.72,"na","Muong Man",108.003056,10.968611
284,13626.94,"na","Phan Thiet",108.1062684,10.9235598
285,679.21,"na","Suoi Van",107.867222,10.920556
286,1083.48,"na","Song Phan",107.751667,10.874444
287,1802.81,"na","Song Dinh",107.672778,10.921389
288,4312.31,"na","Suoi Kiet",107.630278,10.968333
289,5280.93,"na","Gia Huynh",107.541389,10.985278
291,3815.57,"na","Gia Ray",107.403056,10.964167
292,8672.75,"na","Bao Chanh",107.325833,10.9525
293,5716.24,"na","Xuan Loc",107.245833,10.933333
294,6086.35,"na","An Loc",107.18219,10.92655
295,6671.3,"na","Dau Giay",107.137778,10.930833
297,27017.11,"na","Trang Bom",106.993889,10.944722
299,1896.82,"na","Ho Nai",106.906111,10.959389
300,44754.99,"na","Bien Hoa",106.826389,10.950556
301,60.1,"na","Cho Don",106.819508,10.928708
302,32145.41,"na","Dian",106.769167,10.907778
303,2847.79,"na","Thu Duc",106.753333,10.883056
304,2598.95,"na","Binh Trieu",106.7117,10.8531
305,7497.8,"na","Go Vap",106.67941,10.84058
306,98679.01,"0","Saïgon",106.667408,10.785243
307,25706.34,"5","Cho Lon",106.62312,10.75971
308,171.44,"8","Phu Lam",106.61653,10.72765
309,0.2,"12","An Lac",106.60994,10.69668
310,47.43,"16","Binh Dien",106.59171,10.67208
311,206.05,"21","Binh Chanh",106.55195,10.64836
312,21.67,"26","Go Den",106.50825,10.6398
313,923.84,"31","Ben Luc",106.46784,10.63452
314,93.18,"38","Binh Anh",106.42962,10.58621
315,668.35,"46","Tan An",106.39777,10.5313
316,2.69,"54","Tan Huong",106.36219,10.46497
317,385.97,"58","Tan Hiep",106.34155,10.43005
318,152.9,"61","Luong Phu",106.34319,10.39447
319,3.85,"66","Truong Luong",106.34429,10.38151
320,3309.67,"70","My Tho",106.37702,10.3624
321,0,"468","Le Son ",106.258056,17.778333
322,0.3,"na","Phu Nuan",106.673892,10.801047
334,0,"14","Tan Kien",106.60664,10.68131
340,0,"57","Tan Ly Tay",106.34682,10.44015
341,0,"64","Long Hoi",106.34341,10.38865
342,0,"62","Voi",106.258968,21.353012
343,0,"36","Cau Gie",105.923383,20.620215
348,0,"97","Pho So",106.117027,20.352538
351,0,"146","Cau Cu",105.84556,20.0478
355,0,"687","Kim Long",107.569987,16.461055
356,0,"5","Hanoi Grand Marche",105.865112,21.046233
357,0,"24","Pho Tia Vu Lang",105.883355,20.81912
359,0,"42","Thu Thua",106.41446,10.55963
360,0,"149","Ky Lua (Pont)",106.764259,21.865127
361,0,"4","Nga Tu Vong",105.840568,20.973219
362,0,"15","Quang Ganh",105.848722,20.903706
362,0,"34","Cho Phu Xuyen",105.913056,20.7375
363,0,"335","Cho Do",105.600934,18.583248
364,0,"340","Phu Duc",105.590199,18.540667
365,0,"672","Song Bo",107.4456,16.521581
366,0,"691","An Cuu",107.605705,16.450032
367,0,"6","Cay Mai",106.62004,10.74895
3,0,"158","Tam Lung",106.711481,21.924793
4,0,"155","Quan Ho",106.733173,21.907363
12,0,"106","Lang Cang",106.534722,21.601389
14,0,"95","Cau Chuc",106.454238,21.545863
16,0,"86","Sans Nom",106.399107,21.49941
18,0,"78","Suoi Ganh",106.36283,21.45069
22,0,"44","Nui Tiet",106.143681,21.274521
344,0,"59","Bang Khe",105.933349,20.52484
345,0,"63","Dong Xa",105.96127,20.509479
346,0,"71","Dong Quang",106.034922,20.478758
347,0,"79","Le Xa",106.085863,20.443837
349,0,"105","Ninh Xa",106.04735,20.31482
50,0,"120","Cau Yen",105.965556,20.203889
350,0,"123","Mai Thon",105.95197,20.17925
352,0,"183","Doi Trung",105.73058,19.76361
66,0,"276","Dong Thap",105.58019,19.06188
69,0,"292","My Ly",105.601111,18.8975
72,0,"313","Quang Sen",105.656993,18.748879
73,0,"317","Quan Banh",105.660742,18.734808
75,0,"324","Truong Thi",105.660729,18.664759
77,0,"328","Than Tuong",105.642581,18.631567
80,0,"342","Yen Trung",105.587778,18.523611
81,0,"348","Phung Cong",105.578092,18.469067
84,0,"366","Phuong Trach",105.633892,18.329834
86,0,"377","Van Dong",105.673344,18.260951
95,0,"na","Xom Mon",105.7421,17.59764
358,0,"423","Khenet",105.926097,17.980079
353,0,"434","Phu Ninh",105.999876,17.915183
354,0,"444","Kieu Moc",106.065903,17.855923
104,0,"499","Thu Loc",106.458611,17.618889
105,0,"502","Van Loc",106.490178,17.606888
109,0,"528","Le Ky",106.608056,17.404722
110,0,"532","Vinh Tuy",106.6147579,17.3857042
112,0,"545","Dai Phuoc",106.64934,17.28557
114,0,"558","Phu Hoa",106.748333,17.193056
116,0,"573","Thuong Lam",106.858333,17.152778
118,0,"593","Thuy Ba",107.02337,16.98599
120,0,"606","Lang Dinh",107.056398,16.949727
123,0,"625","Lai Phuoc",107.129398,16.79431
125,0,"638","La Vang",107.201918,16.726526
324,0,"na","Truong Phuoc",107.235851,16.694624
126,0,"647","Truong Sanh",107.27105,16.66618
133,0,"694","Thanh Thuy",107.636296,16.430945
137,0,"724","Da Bac",107.84422,16.28626
143,0,"762","Bai Ca",108.115833,16.211111
154,0,"na","Chu Lan",108.18387,15.94304
160,0,"na","Phu Trach",108.26573,15.79071
