"ID","Quantite","KM","NOM","LAT","LONG"
324,0,"na","Truong Phuoc",107.235851,16.694624
365,0,"672","Song Bo",107.4456,16.521581
355,0,"687","Kim Long",107.569987,16.461055
366,0,"691","An Cuu",107.605705,16.450032
149,0,"na","Hoa Vang",108.19277,16.02353
150,0,"na","Lien Tri",108.19046,16.0019
151,0,"na","Phong Le",108.19145,15.99586
152,0,"na","Duong Song",108.182778,15.970556
153,0,"na","Dong Quang",108.17904,15.95885
154,0,"na","Chu Lan",108.18387,15.94304
155,0,"na","Nong Song",108.186667,15.886667
156,0,"na","Ky Lam",108.19024,15.860018
157,0,"na","Xuan Dai",108.196802,15.841322
158,0,"na","Chiem Son",108.21614,15.82794
159,0,"na","Tra Kieu Tay",108.231111,15.809444
160,0,"na","Phu Trach",108.26573,15.79071
161,0,"na","Phuoc Chi",108.29999,15.75068
162,0,"na","Phu Cang",108.341389,15.704444
163,0,"na","Binh An Tay",108.36621,15.67672
164,0,"na","Phu Xuan Phuong",108.38054,15.66041
165,0,"na","Tay My",108.40343,15.62978
166,0,"na","An My Dong",108.4275,15.596389
167,0,"na","Thinh My",108.45269,15.57591
168,0,"na","Tam Ky",108.482778,15.5575
169,0,"na","Khuong My",108.50458,15.54412
170,0,"na","Tra Ly",108.55712,15.51892
171,0,"na","Giem Pho",108.586944,15.476111
172,0,"na","Nam Van",108.65398,15.43227
173,0,"na","An Tan",108.669722,15.421111
174,0,"na","Tri Binh",108.729444,15.348333
175,0,"na","Phuoc Thuan",108.743261,15.304445
176,0,"na","Phu Hau",108.76352,15.22571
177,0,"na","Dai Loc",108.765833,15.195
178,0,"na","Tho Loc",108.77423,15.1473
179,0,"na","Quang Ngai",108.781139,15.120778
180,0,"na","Nghia An",108.78741,15.09887
181,0,"na","Phu Nhieu",108.80454,15.06625
182,0,"na","Hoa Vinh Tay",108.834167,15.022778
183,0,"na","Lam Dien",108.85527,14.9941
184,0,"na","Van Tay",108.86285,14.95786
185,0,"na","Tra Ninh",108.88459,14.92591
186,0,"na","Mo Duc",108.907,14.88407
187,0,"na","Duc Pho",108.946389,14.809722
188,0,"na","Thuy Thach",109.006667,14.7525
189,0,"na","Dien Thuong",109.035647,14.715143
190,0,"na","Sa Huynh",109.064722,14.661667
191,0,"na","Chong Hoa",109.048578,14.586741
192,0,"na","Tam Quan",109.043611,14.547778
193,0,"na","Tai Luong",109.03591,14.4967
194,0,"na","Hoi Duc",109.03295,14.48286
195,0,"na","Bong Son",109.019444,14.438333
196,0,"na","Binh Chuong",109.0313,14.3804
197,0,"na","Van Phu",109.064167,14.313889
198,0,"na","Vinh Phuoc",109.07611,14.27399
199,0,"na","Trung Hoi",109.04415,14.22029
200,0,"na","Phu My",109.04119,14.18702
201,0,"na","Binh Tan",109.03888,14.15374
202,0,"na","Dai Thuan",109.03493,14.10663
203,0,"na","Khanh Phuoc",109.037222,14.0875
204,0,"na","My Hoa",109.04646,14.05161
205,0,"na","Phu Cat",109.056667,13.994722
206,0,"na","Binh Duc",109.06095,13.97518
207,0,"na","Vinh Lai",109.06194,13.94817
208,0,"na","Van Son",109.07446,13.91423
