"ID","Quantite","KM","NOM","LAT","LONG"
340,0,"57","Tan Ly Tay",106.34682,10.44015
341,0,"64","Long Hoi",106.34341,10.38865
342,0,"62","Voi",106.258968,21.353012
343,0,"36","Cau Gie",105.923383,20.620215
348,0,"97","Pho So",106.117027,20.352538
351,0,"146","Cau Cu",105.84556,20.0478
355,0,"687","Kim Long",107.569987,16.461055
356,0,"5","Hanoi Grand Marche",105.865112,21.046233
357,0,"24","Pho Tia Vu Lang",105.883355,20.81912
359,0,"42","Thu Thua",106.41446,10.55963
360,0,"149","Ky Lua (Pont)",106.764259,21.865127
361,0,"4","Nga Tu Vong",105.840568,20.973219
362,0,"15","Quang Ganh",105.848722,20.903706
362,0,"34","Cho Phu Xuyen",105.913056,20.7375
363,0,"335","Cho Do",105.600934,18.583248
364,0,"340","Phu Duc",105.590199,18.540667
365,0,"672","Song Bo",107.4456,16.521581
366,0,"691","An Cuu",107.605705,16.450032
367,0,"6","Cay Mai",106.62004,10.74895
3,0,"158","Tam Lung",106.711481,21.924793
4,0,"155","Quan Ho",106.733173,21.907363
12,0,"106","Lang Cang",106.534722,21.601389
14,0,"95","Cau Chuc",106.454238,21.545863
16,0,"86","Sans Nom",106.399107,21.49941
18,0,"78","Suoi Ganh",106.36283,21.45069
22,0,"44","Nui Tiet",106.143681,21.274521
344,0,"59","Bang Khe",105.933349,20.52484
345,0,"63","Dong Xa",105.96127,20.509479
346,0,"71","Dong Quang",106.034922,20.478758
347,0,"79","Le Xa",106.085863,20.443837
349,0,"105","Ninh Xa",106.04735,20.31482
50,0,"120","Cau Yen",105.965556,20.203889
350,0,"123","Mai Thon",105.95197,20.17925
352,0,"183","Doi Trung",105.73058,19.76361
66,0,"276","Dong Thap",105.58019,19.06188
69,0,"292","My Ly",105.601111,18.8975
72,0,"313","Quang Sen",105.656993,18.748879
73,0,"317","Quan Banh",105.660742,18.734808
75,0,"324","Truong Thi",105.660729,18.664759
77,0,"328","Than Tuong",105.642581,18.631567
80,0,"342","Yen Trung",105.587778,18.523611
81,0,"348","Phung Cong",105.578092,18.469067
84,0,"366","Phuong Trach",105.633892,18.329834
86,0,"377","Van Dong",105.673344,18.260951
95,0,"na","Xom Mon",105.7421,17.59764
358,0,"423","Khenet",105.926097,17.980079
353,0,"434","Phu Ninh",105.999876,17.915183
354,0,"444","Kieu Moc",106.065903,17.855923
104,0,"499","Thu Loc",106.458611,17.618889
105,0,"502","Van Loc",106.490178,17.606888
109,0,"528","Le Ky",106.608056,17.404722
110,0,"532","Vinh Tuy",106.6147579,17.3857042
112,0,"545","Dai Phuoc",106.64934,17.28557
114,0,"558","Phu Hoa",106.748333,17.193056
116,0,"573","Thuong Lam",106.858333,17.152778
118,0,"593","Thuy Ba",107.02337,16.98599
120,0,"606","Lang Dinh",107.056398,16.949727
123,0,"625","Lai Phuoc",107.129398,16.79431
125,0,"638","La Vang",107.201918,16.726526
324,0,"na","Truong Phuoc",107.235851,16.694624
126,0,"647","Truong Sanh",107.27105,16.66618
133,0,"694","Thanh Thuy",107.636296,16.430945
137,0,"724","Da Bac",107.84422,16.28626
143,0,"762","Bai Ca",108.115833,16.211111
154,0,"na","Chu Lan",108.18387,15.94304
160,0,"na","Phu Trach",108.26573,15.79071
163,0,"na","Binh An Tay",108.36621,15.67672
165,0,"na","Tay My",108.40343,15.62978
167,0,"na","Thinh My",108.45269,15.57591
172,0,"na","Nam Van",108.65398,15.43227
176,0,"na","Phu Hau",108.76352,15.22571
180,0,"na","Nghia An",108.78741,15.09887
185,0,"na","Tra Ninh",108.88459,14.92591
202,0,"na","Dai Thuan",109.03493,14.10663
206,0,"na","Binh Duc",109.06095,13.97518
207,0,"na","Vinh Lai",109.06194,13.94817
209,0,"na","Thanh Danh",109.0939,13.89644
211,0,"na","Cau Ganh",109.12207,13.87388
213,0,"na","Vin The",109.14216,13.83533
217,0,"na","An Trach",109.10856,13.77224
220,0,"na","Quang Hien",109.03641,13.67176
224,0,"na","Phuoc Long",109.09579,13.41833
229,0,"na","Phu Tan",109.24371,13.28359
232,0,"na","Minh Chinh",109.28358,13.12314
325,0,"na","Phuoc Trach",109.14735,12.253401
251,0,"na","Suoi Cat",109.12585,12.04074
253,0,"na","Suoi Mon",109.10971,11.97551
258,0,"na","Ka Rom",109.08336,11.77949
260,0,"na","Barau",109.05066,11.72011
261,0,"na","Dong Me",108.88634,11.69548
263,0,"na","Luong Phan",108.91665,11.6454
265,0,"na","Phu Qui",108.68217,11.82742
323,0,"na","Kabeu",108.65351,11.82676
276,0,"na","Nha Me",108.61331,11.24298
283,0,"na","Phu Hoi",108.07121,10.95126
290,0,"na","Tran Tao",107.488056,10.9675
296,0,"na","Bau Ca",107.07561,10.93561
298,0,"na","Long Lac",106.94153,10.95686
331,0,"na","Nhi Hoa",106.826426,10.934144
330,0,"na","Hoa Han",106.802129,10.925826
329,0,"na","Ap dian",106.759878,10.896752
328,0,"na","Binh Chanh",106.738546,10.862489
327,0,"na","Hanh Thong Xa",106.674962,10.810766
326,0,"na","Hoa Hung",106.673233,10.795529
333,0,"10","Km 10",106.61213,10.71293
368,0,"18","Tan Tuc",106.57699,10.6622
335,0,"28","Long Hiep",106.49199,10.64287
336,0,"35","Binh Nhut",106.4428,10.60971
337,0,"48","Loi Binh Nhon",106.38855,10.51373
338,0,"51","Khanh Hau",106.37581,10.4911
339,0,"56","Hoa Tinh",106.35121,10.44828
369,0,"60","Cuu Nghia",106.34155,10.41335
370,0,"67","Dao Ngan",106.35857,10.37338
